Komuna,Viti Akademik,Niveli Akademik,Mosha,Gjinia,Numri i nxenesve
Dargash,2015,Para-fillor,5-6,Mashkull,236
Dargash,2015,Para-fillor,5-6,Femer,196
Dargash,2015,Fillor mesem i ulet,6-15,Mashkull,1984
Dargash,2015,Fillor mesem i ulet,6-15,Femer,1941
Dargash,2015,Mesem i larte,15-18,Mashkull,341
Dargash,2015,Mesem i larte,15-18,Femer,246
Dargash,2015,Institucionet publike parauniversitare,18-19,Mashkull,2561
Dargash,2015,Institucionet publike parauniversitare,18-19,Femer,2383
Dargash,2016,Para-fillor,5-6,Mashkull,148
Dargash,2016,Para-fillor,5-6,Femer,156
Dargash,2016,Fillor mesem i ulet,6-15,Mashkull,1815
Dargash,2016,Fillor mesem i ulet,6-15,Femer,1753
Dargash,2016,Mesem i larte,15-18,Mashkull,334
Dargash,2016,Mesem i larte,15-18,Femer,263
Dargash,2016,Institucionet publike parauniversitare,18-19,Mashkull,2298
Dargash,2016,Institucionet publike parauniversitare,18-19,Femer,2175
Dargash,2017,Para-fillor,5-6,Mashkull,218
Dargash,2017,Para-fillor,5-6,Femer,160
Dargash,2017,Fillor mesem i ulet,6-15,Mashkull,1664
Dargash,2017,Fillor mesem i ulet,6-15,Femer,1669
Dargash,2017,Mesem i larte,15-18,Mashkull,331
Dargash,2017,Mesem i larte,15-18,Femer,278
Dargash,2017,Institucionet publike parauniversitare,18-19,Mashkull,2219
Dargash,2017,Institucionet publike parauniversitare,18-19,Femer,2113
Dargash,2018,Para-fillor,5-6,Mashkull,166
Dargash,2018,Para-fillor,5-6,Femer,139
Dargash,2018,Fillor mesem i ulet,6-15,Mashkull,1622
Dargash,2018,Fillor mesem i ulet,6-15,Femer,1525
Dargash,2018,Mesem i larte,15-18,Mashkull,301
Dargash,2018,Mesem i larte,15-18,Femer,283
Dargash,2018,Institucionet publike parauniversitare,18-19,Mashkull,2089
Dargash,2018,Institucionet publike parauniversitare,18-19,Femer,1947
Dargash,2019,Para-fillor,5-6,Mashkull,150
Dargash,2019,Para-fillor,5-6,Femer,138
Dargash,2019,Fillor mesem i ulet,6-15,Mashkull,1564
Dargash,2019,Fillor mesem i ulet,6-15,Femer,1451
Dargash,2019,Mesem i larte,15-18,Mashkull,257
Dargash,2019,Mesem i larte,15-18,Femer,267
Dargash,2019,Institucionet publike parauniversitare,18-19,Mashkull,1975
Dargash,2019,Institucionet publike parauniversitare,18-19,Femer,1856
Dargash,2020,Para-fillor,5-6,Mashkull,124
Dargash,2020,Para-fillor,5-6,Femer,151
Dargash,2020,Fillor mesem i ulet,6-15,Mashkull,1329
Dargash,2020,Fillor mesem i ulet,6-15,Femer,1239
Dargash,2020,Mesem i larte,15-18,Mashkull,250
Dargash,2020,Mesem i larte,15-18,Femer,275
Dargash,2020,Institucionet publike parauniversitare,18-19,Mashkull,1705
Dargash,2020,Institucionet publike parauniversitare,18-19,Femer,1666
Dargash,2021,Para-fillor,5-6,Mashkull,159
Dargash,2021,Para-fillor,5-6,Femer,123
Dargash,2021,Fillor mesem i ulet,6-15,Mashkull,1406
Dargash,2021,Fillor mesem i ulet,6-15,Femer,1310
Dargash,2021,Mesem i larte,15-18,Mashkull,237
Dargash,2021,Mesem i larte,15-18,Femer,242
Dargash,2021,Institucionet publike parauniversitare,18-19,Mashkull,1802
Dargash,2021,Institucionet publike parauniversitare,18-19,Femer,1675
Dargash,2022,Para-fillor,5-6,Mashkull,124
Dargash,2022,Para-fillor,5-6,Femer,128
Dargash,2022,Fillor mesem i ulet,6-15,Mashkull,1289
Dargash,2022,Fillor mesem i ulet,6-15,Femer,1176
Dargash,2022,Mesem i larte,15-18,Mashkull,206
Dargash,2022,Mesem i larte,15-18,Femer,231
Dargash,2022,Institucionet publike parauniversitare,18-19,Mashkull,1631
Dargash,2022,Institucionet publike parauniversitare,18-19,Femer,1549
Dargash,2023,Para-fillor,5-6,Mashkull,106
Dargash,2023,Para-fillor,5-6,Femer,123
Dargash,2023,Fillor mesem i ulet,6-15,Mashkull,1224
Dargash,2023,Fillor mesem i ulet,6-15,Femer,1104
Dargash,2023,Mesem i larte,15-18,Mashkull,192
Dargash,2023,Mesem i larte,15-18,Femer,207
Dargash,2023,Institucionet publike parauniversitare,18-19,Mashkull,1535
Dargash,2023,Institucionet publike parauniversitare,18-19,Femer,1445
Deqan,2015,Para-fillor,5-6,Mashkull,249
Deqan,2015,Para-fillor,5-6,Femer,267
Deqan,2015,Fillor mesem i ulet,6-15,Mashkull,2312
Deqan,2015,Fillor mesem i ulet,6-15,Femer,2223
Deqan,2015,Mesem i larte,15-18,Mashkull,766
Deqan,2015,Mesem i larte,15-18,Femer,630
Deqan,2015,Institucionet publike parauniversitare,18-19,Mashkull,3327
Deqan,2015,Institucionet publike parauniversitare,18-19,Femer,3120
Deqan,2016,Para-fillor,5-6,Mashkull,255
Deqan,2016,Para-fillor,5-6,Femer,228
Deqan,2016,Fillor mesem i ulet,6-15,Mashkull,2198
Deqan,2016,Fillor mesem i ulet,6-15,Femer,2110
Deqan,2016,Mesem i larte,15-18,Mashkull,754
Deqan,2016,Mesem i larte,15-18,Femer,574
Deqan,2016,Institucionet publike parauniversitare,18-19,Mashkull,3207
Deqan,2016,Institucionet publike parauniversitare,18-19,Femer,2912
Deqan,2017,Para-fillor,5-6,Mashkull,263
Deqan,2017,Para-fillor,5-6,Femer,242
Deqan,2017,Fillor mesem i ulet,6-15,Mashkull,2146
Deqan,2017,Fillor mesem i ulet,6-15,Femer,2050
Deqan,2017,Mesem i larte,15-18,Mashkull,719
Deqan,2017,Mesem i larte,15-18,Femer,566
Deqan,2017,Institucionet publike parauniversitare,18-19,Mashkull,3128
Deqan,2017,Institucionet publike parauniversitare,18-19,Femer,2858
Deqan,2018,Para-fillor,5-6,Mashkull,240
Deqan,2018,Para-fillor,5-6,Femer,234
Deqan,2018,Fillor mesem i ulet,6-15,Mashkull,2078
Deqan,2018,Fillor mesem i ulet,6-15,Femer,1971
Deqan,2018,Mesem i larte,15-18,Mashkull,694
Deqan,2018,Mesem i larte,15-18,Femer,517
Deqan,2018,Institucionet publike parauniversitare,18-19,Mashkull,3012
Deqan,2018,Institucionet publike parauniversitare,18-19,Femer,2722
Deqan,2019,Para-fillor,5-6,Mashkull,262
Deqan,2019,Para-fillor,5-6,Femer,222
Deqan,2019,Fillor mesem i ulet,6-15,Mashkull,1971
Deqan,2019,Fillor mesem i ulet,6-15,Femer,1905
Deqan,2019,Mesem i larte,15-18,Mashkull,633
Deqan,2019,Mesem i larte,15-18,Femer,502
Deqan,2019,Institucionet publike parauniversitare,18-19,Mashkull,2866
Deqan,2019,Institucionet publike parauniversitare,18-19,Femer,2629
Deqan,2020,Para-fillor,5-6,Mashkull,230
Deqan,2020,Para-fillor,5-6,Femer,209
Deqan,2020,Fillor mesem i ulet,6-15,Mashkull,1984
Deqan,2020,Fillor mesem i ulet,6-15,Femer,1813
Deqan,2020,Mesem i larte,15-18,Mashkull,556
Deqan,2020,Mesem i larte,15-18,Femer,507
Deqan,2020,Institucionet publike parauniversitare,18-19,Mashkull,2770
Deqan,2020,Institucionet publike parauniversitare,18-19,Femer,2529
Deqan,2021,Para-fillor,5-6,Mashkull,220
Deqan,2021,Para-fillor,5-6,Femer,243
