Viti,Variabla,Konsumi i përgjithshëm në Kosovë
2011,Gjithsej në Milion,1928
2012,Gjithsej në Milion,2292
2013,Gjithsej në Milion,2382
2014,Gjithsej në Milion,2471
2015,Gjithsej në Milion,2461
2016,Gjithsej në Milion,2321
2017,Gjithsej në Milion,2340
2018,Gjithsej në Milion,2377
2019,Gjithsej në Milion,2415
2020,Gjithsej në Milion,2452
2021,Gjithsej në Milion,2490
2022,Gjithsej në Milion,2527
2011,Konsumi për banor,1210
2012,Konsumi për banor,1380
2013,Konsumi për banor,1402
2014,Konsumi për banor,1386
2015,Konsumi për banor,1432
2016,Konsumi për banor,1460
2017,Konsumi për banor,1511
2018,Konsumi për banor,1589
2019,Konsumi për banor,1668
2020,Konsumi për banor,1746
2021,Konsumi për banor,1825
2022,Konsumi për banor,1903
2011,Konsumi për ekonomi familjare,7010
2012,Konsumi për ekonomi familjare,7657
2013,Konsumi për ekonomi familjare,7625
2014,Konsumi për ekonomi familjare,7611
2015,Konsumi për ekonomi familjare,7503
2016,Konsumi për ekonomi familjare,7539
2017,Konsumi për ekonomi familjare,7803
2018,Konsumi për ekonomi familjare,7864
2019,Konsumi për ekonomi familjare,7924
2020,Konsumi për ekonomi familjare,7985
2021,Konsumi për ekonomi familjare,8045
2022,Konsumi për ekonomi familjare,8106
