Viti,Variablat,Lindjet dhe vdekjet
1948,Lindjet,27792
1949,Lindjet,31643
1950,Lindjet,35222
1951,Lindjet,29299
1952,Lindjet,35619
1953,Lindjet,34595
1954,Lindjet,38595
1955,Lindjet,36736
1956,Lindjet,37819
1957,Lindjet,34159
1958,Lindjet,39285
1959,Lindjet,37364
1960,Lindjet,41631
1961,Lindjet,40561
1962,Lindjet,41336
1963,Lindjet,41525
1964,Lindjet,42557
1965,Lindjet,43569
1966,Lindjet,42429
1967,Lindjet,44001
1968,Lindjet,44627
1969,Lindjet,46480
1970,Lindjet,44496
1971,Lindjet,47060
1972,Lindjet,47943
1973,Lindjet,47714
1974,Lindjet,49847
1975,Lindjet,49310
1976,Lindjet,51355
1977,Lindjet,49849
1978,Lindjet,49027
1979,Lindjet,48125
1980,Lindjet,53147
1981,Lindjet,48111
1982,Lindjet,52865
1983,Lindjet,49645
1984,Lindjet,55243
1985,Lindjet,53925
1986,Lindjet,54519
1987,Lindjet,56221
1988,Lindjet,56283
1989,Lindjet,53656
1990,Lindjet,55175
1991,Lindjet,52263
1992,Lindjet,44418
1993,Lindjet,44132
1994,Lindjet,43450
1995,Lindjet,44776
1996,Lindjet,46041
1997,Lindjet,42920
1998,Lindjet,41752
1999,Lindjet,40020
2000,Lindjet,38687
2001,Lindjet,37412
2002,Lindjet,36136
2003,Lindjet,31994
2004,Lindjet,35063
2005,Lindjet,37218
2006,Lindjet,34187
2007,Lindjet,33112
2008,Lindjet,34399
2009,Lindjet,34240
2010,Lindjet,33751
2011,Lindjet,34286
2012,Lindjet,34771
2013,Lindjet,29723
2014,Lindjet,32087
2015,Lindjet,31116
2016,Lindjet,30069
2017,Lindjet,30025
2018,Lindjet,22761
2019,Lindjet,21798
2020,Lindjet,21907
2021,Lindjet,22830
2022,Lindjet,22632
1948,Vdekjet,10324
1949,Vdekjet,12927
1950,Vdekjet,12991
1951,Vdekjet,14833
1952,Vdekjet,13867
1953,Vdekjet,16726
1954,Vdekjet,13201
1955,Vdekjet,15292
1956,Vdekjet,13692
1957,Vdekjet,15300
1958,Vdekjet,11598
1959,Vdekjet,12878
1960,Vdekjet,13365
1961,Vdekjet,11759
1962,Vdekjet,15024
1963,Vdekjet,12423
1964,Vdekjet,12731
1965,Vdekjet,11767
1966,Vdekjet,10266
1967,Vdekjet,11308
1968,Vdekjet,10781
1969,Vdekjet,10892
1970,Vdekjet,10829
1971,Vdekjet,10312
1972,Vdekjet,10270
1973,Vdekjet,10358
1974,Vdekjet,10075
1975,Vdekjet,10018
1976,Vdekjet,10149
1977,Vdekjet,9811
1978,Vdekjet,9776
1979,Vdekjet,9575
1980,Vdekjet,8909
1981,Vdekjet,9677
1982,Vdekjet,10479
1983,Vdekjet,11040
1984,Vdekjet,10573
1985,Vdekjet,11826
1986,Vdekjet,10446
1987,Vdekjet,10307
1988,Vdekjet,10257
1989,Vdekjet,10181
1990,Vdekjet,8214
1991,Vdekjet,8526
1992,Vdekjet,8004
1993,Vdekjet,7804
1994,Vdekjet,7667
1995,Vdekjet,8671
1996,Vdekjet,8392
1997,Vdekjet,8624
1998,Vdekjet,7968
1999,Vdekjet,7312
2000,Vdekjet,6656
2001,Vdekjet,6000
2002,Vdekjet,5654
2003,Vdekjet,6417
2004,Vdekjet,6399
2005,Vdekjet,6538
2006,Vdekjet,6677
2007,Vdekjet,6816
2008,Vdekjet,6956
2009,Vdekjet,7095
2010,Vdekjet,7234
2011,Vdekjet,7556
2012,Vdekjet,7317
2013,Vdekjet,7135
2014,Vdekjet,7634
2015,Vdekjet,8202
2016,Vdekjet,8495
2017,Vdekjet,8721
2018,Vdekjet,8998
2019,Vdekjet,9430
2020,Vdekjet,12987
2021,Vdekjet,13019
2022,Vdekjet,9845
