viti,niveli i arsimit,treguesi,vlera
2015,Arsimi  i mesëm i lartë,Numri i nxënësve,83906.0
2015,Arsimi  i mesëm i lartë,Raporti gjinor F/M,0.9
2015,Arsimi  i mesëm i lartë,% e femrave,48.2
2015,Arsimi  i mesëm i lartë,Raporti nxënës-mësimdhënës,15.9
2016,Arsimi  i mesëm i lartë,Numri i nxënësve,86447.0
2016,Arsimi  i mesëm i lartë,Raporti gjinor F/M,0.9
2016,Arsimi  i mesëm i lartë,% e femrave,48.1
2016,Arsimi  i mesëm i lartë,Raporti nxënës-mësimdhënës,16.4
2017,Arsimi  i mesëm i lartë,Numri i nxënësve,86813.0
2017,Arsimi  i mesëm i lartë,Raporti gjinor F/M,1.0
2017,Arsimi  i mesëm i lartë,% e femrave,48.9
2017,Arsimi  i mesëm i lartë,Raporti nxënës-mësimdhënës,16.4
2018,Arsimi  i mesëm i lartë,Numri i nxënësve,82581.0
2018,Arsimi  i mesëm i lartë,Raporti gjinor F/M,1.4
2018,Arsimi  i mesëm i lartë,% e femrave,49.2
2018,Arsimi  i mesëm i lartë,Raporti nxënës-mësimdhënës,15.3
2019,Arsimi  i mesëm i lartë,Numri i nxënësve,74427.0
2019,Arsimi  i mesëm i lartë,Raporti gjinor F/M,1.0
2019,Arsimi  i mesëm i lartë,% e femrave,49.1
2019,Arsimi  i mesëm i lartë,Raporti nxënës-mësimdhënës,14.2
2020,Arsimi  i mesëm i lartë,Numri i nxënësve,70742.0
2020,Arsimi  i mesëm i lartë,Raporti gjinor F/M,1.0
2020,Arsimi  i mesëm i lartë,% e femrave,48.5
2020,Arsimi  i mesëm i lartë,Raporti nxënës-mësimdhënës,13.5
2021,Arsimi  i mesëm i lartë,Numri i nxënësve,67130.0
2021,Arsimi  i mesëm i lartë,Raporti gjinor F/M,1.0
2021,Arsimi  i mesëm i lartë,% e femrave,49.0
2021,Arsimi  i mesëm i lartë,Raporti nxënës-mësimdhënës,12.9
2022,Arsimi  i mesëm i lartë,Numri i nxënësve,63029.0
2022,Arsimi  i mesëm i lartë,Raporti gjinor F/M,1.0
2022,Arsimi  i mesëm i lartë,% e femrave,0.5
2022,Arsimi  i mesëm i lartë,Raporti nxënës-mësimdhënës,12.3
2023,Arsimi  i mesëm i lartë,Numri i nxënësve,60837.0
2023,Arsimi  i mesëm i lartë,Raporti gjinor F/M,1.0
2023,Arsimi  i mesëm i lartë,% e femrave,0.5
2023,Arsimi  i mesëm i lartë,Raporti nxënës-mësimdhënës,12.0
2015,Arsimi fillor/i mesëm i ulët,Numri i nxënësve,258464.0
2015,Arsimi fillor/i mesëm i ulët,Raporti gjinor F/M,0.9
2015,Arsimi fillor/i mesëm i ulët,% e femrave,48.2
2015,Arsimi fillor/i mesëm i ulët,Raporti nxënës-mësimdhënës,15.5
2016,Arsimi fillor/i mesëm i ulët,Numri i nxënësve,247824.0
2016,Arsimi fillor/i mesëm i ulët,Raporti gjinor F/M,0.9
2016,Arsimi fillor/i mesëm i ulët,% e femrave,48.3
2016,Arsimi fillor/i mesëm i ulët,Raporti nxënës-mësimdhënës,15.1
2017,Arsimi fillor/i mesëm i ulët,Numri i nxënësve,240782.0
2017,Arsimi fillor/i mesëm i ulët,Raporti gjinor F/M,0.9
2017,Arsimi fillor/i mesëm i ulët,% e femrave,48.4
2017,Arsimi fillor/i mesëm i ulët,Raporti nxënës-mësimdhënës,14.6
2018,Arsimi fillor/i mesëm i ulët,Numri i nxënësve,235161.0
2018,Arsimi fillor/i mesëm i ulët,Raporti gjinor F/M,1.0
2018,Arsimi fillor/i mesëm i ulët,% e femrave,48.6
2018,Arsimi fillor/i mesëm i ulët,Raporti nxënës-mësimdhënës,14.3
2019,Arsimi fillor/i mesëm i ulët,Numri i nxënësve,229338.0
2019,Arsimi fillor/i mesëm i ulët,Raporti gjinor F/M,0.9
2019,Arsimi fillor/i mesëm i ulët,% e femrave,48.5
2019,Arsimi fillor/i mesëm i ulët,Raporti nxënës-mësimdhënës,14.0
2020,Arsimi fillor/i mesëm i ulët,Numri i nxënësve,223908.0
2020,Arsimi fillor/i mesëm i ulët,Raporti gjinor F/M,0.9
2020,Arsimi fillor/i mesëm i ulët,% e femrave,48.5
2020,Arsimi fillor/i mesëm i ulët,Raporti nxënës-mësimdhënës,13.8
2021,Arsimi fillor/i mesëm i ulët,Numri i nxënësve,217977.0
2021,Arsimi fillor/i mesëm i ulët,Raporti gjinor F/M,0.9
2021,Arsimi fillor/i mesëm i ulët,% e femrave,48.3
2021,Arsimi fillor/i mesëm i ulët,Raporti nxënës-mësimdhënës,13.5
2022,Arsimi fillor/i mesëm i ulët,Numri i nxënësve,212967.0
2022,Arsimi fillor/i mesëm i ulët,Raporti gjinor F/M,1.0
2022,Arsimi fillor/i mesëm i ulët,% e femrave,49.0
2022,Arsimi fillor/i mesëm i ulët,Raporti nxënës-mësimdhënës,13.3
2023,Arsimi fillor/i mesëm i ulët,Numri i nxënësve,206941.0
2023,Arsimi fillor/i mesëm i ulët,Raporti gjinor F/M,1.0
2023,Arsimi fillor/i mesëm i ulët,% e femrave,48.6
2023,Arsimi fillor/i mesëm i ulët,Raporti nxënës-mësimdhënës,13.0
2015,Arsimi parafillor,Numri i nxënësve,20342.0
2015,Arsimi parafillor,Raporti gjinor F/M,0.9
2015,Arsimi parafillor,% e femrave,48.2
2015,Arsimi parafillor,Raporti nxënës-mësimdhënës,22.4
2016,Arsimi parafillor,Numri i nxënësve,21208.0
2016,Arsimi parafillor,Raporti gjinor F/M,0.9
2016,Arsimi parafillor,% e femrave,48.6
2016,Arsimi parafillor,Raporti nxënës-mësimdhënës,22.2
2017,Arsimi parafillor,Numri i nxënësve,21531.0
2017,Arsimi parafillor,Raporti gjinor F/M,0.9
2017,Arsimi parafillor,% e femrave,48.4
2017,Arsimi parafillor,Raporti nxënës-mësimdhënës,21.7
2018,Arsimi parafillor,Numri i nxënësve,20945.0
2018,Arsimi parafillor,Raporti gjinor F/M,0.9
2018,Arsimi parafillor,% e femrave,48.2
2018,Arsimi parafillor,Raporti nxënës-mësimdhënës,20.5
2019,Arsimi parafillor,Numri i nxënësve,20653.0
2019,Arsimi parafillor,Raporti gjinor F/M,0.9
2019,Arsimi parafillor,% e femrave,48.0
2019,Arsimi parafillor,Raporti nxënës-mësimdhënës,19.8
2020,Arsimi parafillor,Numri i nxënësve,18957.0
2020,Arsimi parafillor,Raporti gjinor F/M,0.9
2020,Arsimi parafillor,% e femrave,48.0
2020,Arsimi parafillor,Raporti nxënës-mësimdhënës,17.2
2021,Arsimi parafillor,Numri i nxënësve,18268.0
2021,Arsimi parafillor,Raporti gjinor F/M,0.9
2021,Arsimi parafillor,% e femrave,48.4
2021,Arsimi parafillor,Raporti nxënës-mësimdhënës,17.6
2022,Arsimi parafillor,Numri i nxënësve,17786.0
2022,Arsimi parafillor,Raporti gjinor F/M,1.0
2022,Arsimi parafillor,% e femrave,49.0
2022,Arsimi parafillor,Raporti nxënës-mësimdhënës,16.8
2023,Arsimi parafillor,Numri i nxënësve,16837.0
2023,Arsimi parafillor,Raporti gjinor F/M,0.9
2023,Arsimi parafillor,% e femrave,48.3
2023,Arsimi parafillor,Raporti nxënës-mësimdhënës,16.0
2015,Arsimi parashkollor,Numri i nxënësve,5228.0
2015,Arsimi parashkollor,Raporti gjinor F/M,0.9
2015,Arsimi parashkollor,% e femrave,48.1
2015,Arsimi parashkollor,Raporti nxënës-mësimdhënës,9.7
2016,Arsimi parashkollor,Numri i nxënësve,4758.0
2016,Arsimi parashkollor,Raporti gjinor F/M,0.8
2016,Arsimi parashkollor,% e femrave,45.8
2016,Arsimi parashkollor,Raporti nxënës-mësimdhënës,8.9
2017,Arsimi parashkollor,Numri i nxënësve,5328.0
2017,Arsimi parashkollor,Raporti gjinor F/M,0.8
2017,Arsimi parashkollor,% e femrave,45.6
2017,Arsimi parashkollor,Raporti nxënës-mësimdhënës,9.9
2018,Arsimi parashkollor,Numri i nxënësve,5205.0
2018,Arsimi parashkollor,Raporti gjinor F/M,0.8
2018,Arsimi parashkollor,% e femrave,46.1
2018,Arsimi parashkollor,Raporti nxënës-mësimdhënës,9.5
2019,Arsimi parashkollor,Numri i nxënësve,5171.0
2019,Arsimi parashkollor,Raporti gjinor F/M,0.9
2019,Arsimi parashkollor,% e femrave,48.0
2019,Arsimi parashkollor,Raporti nxënës-mësimdhënës,9.4
2020,Arsimi parashkollor,Numri i nxënësve,5239.0
2020,Arsimi parashkollor,Raporti gjinor F/M,0.9
2020,Arsimi parashkollor,% e femrave,48.0
2020,Arsimi parashkollor,Raporti nxënës-mësimdhënës,8.9
2021,Arsimi parashkollor,Numri i nxënësve,6163.0
2021,Arsimi parashkollor,Raporti gjinor F/M,0.9
2021,Arsimi parashkollor,% e femrave,48.0
2021,Arsimi parashkollor,Raporti nxënës-mësimdhënës,10.1
2022,Arsimi parashkollor,Numri i nxënësve,6580.0
2022,Arsimi parashkollor,Raporti gjinor F/M,0.9
2022,Arsimi parashkollor,% e femrave,47.5
2022,Arsimi parashkollor,Raporti nxënës-mësimdhënës,10.0
2023,Arsimi parashkollor,Numri i nxënësve,7267.0
2023,Arsimi parashkollor,Raporti gjinor F/M,0.9
2023,Arsimi parashkollor,% e femrave,48.3
2023,Arsimi parashkollor,Raporti nxënës-mësimdhënës,9.4
