Komuna,Viti Akademik,Niveli Akademik,Mosha,Gjinia,Numri i nxenesve,Komuna_encoded,Niveli Akademik_encoded,Mosha_encoded,Gjinia_encoded,TSNE-1,TSNE-2,Cluster
Dargash,2015,Para-fillor,5-6,Mashkull,236,0,3,2,1,68.56622,-4.4160466,0
Dargash,2015,Para-fillor,5-6,Femer,196,0,3,2,0,55.732113,29.6997,1
Dargash,2015,Fillor mesem i ulet,6-15,Mashkull,1984,0,0,3,1,-57.307983,-18.545198,2
Dargash,2015,Fillor mesem i ulet,6-15,Femer,1941,0,0,3,0,-32.861015,45.025158,3
Dargash,2015,Mesem i larte,15-18,Mashkull,341,0,2,0,1,29.090775,-48.39744,4
Dargash,2015,Mesem i larte,15-18,Femer,246,0,2,0,0,13.985306,33.962387,5
Dargash,2015,Institucionet publike parauniversitare,18-19,Mashkull,2561,0,1,1,1,-23.038914,-40.311363,6
Dargash,2015,Institucionet publike parauniversitare,18-19,Femer,2383,0,1,1,0,8.331858,-4.4233,7
Dargash,2016,Para-fillor,5-6,Mashkull,148,0,3,2,1,67.606804,-3.7221699,0
Dargash,2016,Para-fillor,5-6,Femer,156,0,3,2,0,55.873383,30.910587,1
Dargash,2016,Fillor mesem i ulet,6-15,Mashkull,1815,0,0,3,1,-58.103012,-18.643755,2
Dargash,2016,Fillor mesem i ulet,6-15,Femer,1753,0,0,3,0,-33.689785,45.15853,3
Dargash,2016,Mesem i larte,15-18,Mashkull,334,0,2,0,1,29.172705,-49.483467,4
Dargash,2016,Mesem i larte,15-18,Femer,263,0,2,0,0,14.394382,34.98996,5
Dargash,2016,Institucionet publike parauniversitare,18-19,Mashkull,2298,0,1,1,1,-23.380281,-40.981487,6
Dargash,2016,Institucionet publike parauniversitare,18-19,Femer,2175,0,1,1,0,7.6245346,-4.608193,7
Dargash,2017,Para-fillor,5-6,Mashkull,218,0,3,2,1,66.00798,-2.7630847,0
Dargash,2017,Para-fillor,5-6,Femer,160,0,3,2,0,55.95858,32.76722,1
Dargash,2017,Fillor mesem i ulet,6-15,Mashkull,1664,0,0,3,1,-59.212254,-18.761032,2
Dargash,2017,Fillor mesem i ulet,6-15,Femer,1669,0,0,3,0,-34.863342,45.374023,3
Dargash,2017,Mesem i larte,15-18,Mashkull,331,0,2,0,1,28.969511,-51.57576,4
Dargash,2017,Mesem i larte,15-18,Femer,278,0,2,0,0,14.747753,37.080967,5
Dargash,2017,Institucionet publike parauniversitare,18-19,Mashkull,2219,0,1,1,1,-23.638714,-42.311043,6
Dargash,2017,Institucionet publike parauniversitare,18-19,Femer,2113,0,1,1,0,6.5671635,-4.703466,7
Dargash,2018,Para-fillor,5-6,Mashkull,166,0,3,2,1,63.68778,-1.5550709,0
Dargash,2018,Para-fillor,5-6,Femer,139,0,3,2,0,55.9115,35.384274,1
Dargash,2018,Fillor mesem i ulet,6-15,Mashkull,1622,0,0,3,1,-60.634556,-18.897146,2
Dargash,2018,Fillor mesem i ulet,6-15,Femer,1525,0,0,3,0,-36.295845,45.591545,3
Dargash,2018,Mesem i larte,15-18,Mashkull,301,0,2,0,1,28.713726,-53.352245,4
Dargash,2018,Mesem i larte,15-18,Femer,283,0,2,0,0,14.951216,38.878742,5
Dargash,2018,Institucionet publike parauniversitare,18-19,Mashkull,2089,0,1,1,1,-23.965157,-43.546986,6
Dargash,2018,Institucionet publike parauniversitare,18-19,Femer,1947,0,1,1,0,5.25062,-4.4049363,7
Dargash,2019,Para-fillor,5-6,Mashkull,150,0,3,2,1,61.190506,-0.392965,0
Dargash,2019,Para-fillor,5-6,Femer,138,0,3,2,0,55.75342,38.076385,1
Dargash,2019,Fillor mesem i ulet,6-15,Mashkull,1564,0,0,3,1,-62.23835,-18.97485,2
Dargash,2019,Fillor mesem i ulet,6-15,Femer,1451,0,0,3,0,-37.809494,45.963833,3
Dargash,2019,Mesem i larte,15-18,Mashkull,257,0,2,0,1,28.415289,-54.85538,4
Dargash,2019,Mesem i larte,15-18,Femer,267,0,2,0,0,15.03147,40.432312,5
Dargash,2019,Institucionet publike parauniversitare,18-19,Mashkull,1975,0,1,1,1,-24.456379,-44.693825,6
Dargash,2019,Institucionet publike parauniversitare,18-19,Femer,1856,0,1,1,0,3.764841,-4.1816583,7
Dargash,2020,Para-fillor,5-6,Mashkull,124,0,3,2,1,58.718536,0.6376052,0
Dargash,2020,Para-fillor,5-6,Femer,151,0,3,2,0,55.49296,40.888367,1
