Komuna,Viti Akademik,Niveli Akademik,Mosha,Gjinia,Numri i nxenesve
Deqan,2015-2016,Para-fillor,5-6,Mashkull,249
Deqan,2015-2016,Para-fillor,5-6,Femer,267
Dargash,2015-2016,Para-fillor,5-6,Mashkull,236
Dargash,2015-2016,Para-fillor,5-6,Femer,196
Ferizaj,2015-2016,Para-fillor,5-6,Mashkull,890
Ferizaj,2015-2016,Para-fillor,5-6,Femer,791
Fushe Kosove,2015-2016,Para-fillor,5-6,Mashkull,98
Fushe Kosove,2015-2016,Para-fillor,5-6,Femer,87
Gjakove,2015-2016,Para-fillor,5-6,Mashkull,610
Gjakove,2015-2016,Para-fillor,5-6,Femer,497
Gjilan,2015-2016,Para-fillor,5-6,Mashkull,605
Gjilan,2015-2016,Para-fillor,5-6,Femer,560
Gllogovc,2015-2016,Para-fillor,5-6,Mashkull,470
Gllogovc,2015-2016,Para-fillor,5-6,Femer,443
Hani i Elezit,2015-2016,Para-fillor,5-6,Mashkull,:
Hani i Elezit,2015-2016,Para-fillor,5-6,Femer,:
Istog,2015-2016,Para-fillor,5-6,Mashkull,287
Istog,2015-2016,Para-fillor,5-6,Femer,266
Junik,2015-2016,Para-fillor,5-6,Mashkull,32
Junik,2015-2016,Para-fillor,5-6,Femer,23
Kaqanik,2015-2016,Para-fillor,5-6,Mashkull,235
Kaqanik,2015-2016,Para-fillor,5-6,Femer,216
Kamenice,2015-2016,Para-fillor,5-6,Mashkull,138
Kamenice,2015-2016,Para-fillor,5-6,Femer,146
Kline,2015-2016,Para-fillor,5-6,Mashkull,210
Kline,2015-2016,Para-fillor,5-6,Femer,219
Leposaviq,2015-2016,Para-fillor,5-6,Mashkull,:
Leposaviq,2015-2016,Para-fillor,5-6,Femer,:
Lipjan,2015-2016,Para-fillor,5-6,Mashkull,440
Lipjan,2015-2016,Para-fillor,5-6,Femer,370
Malisheve,2015-2016,Para-fillor,5-6,Mashkull,568
Malisheve,2015-2016,Para-fillor,5-6,Femer,538
Mamushe,2015-2016,Para-fillor,5-6,Mashkull,32
Mamushe,2015-2016,Para-fillor,5-6,Femer,36
Mitrovice,2015-2016,Para-fillor,5-6,Mashkull,481
Mitrovice,2015-2016,Para-fillor,5-6,Femer,413
Novoberde,2015-2016,Para-fillor,5-6,Mashkull,29
Novoberde,2015-2016,Para-fillor,5-6,Femer,19
Obiliq,2015-2016,Para-fillor,5-6,Mashkull,157
Obiliq,2015-2016,Para-fillor,5-6,Femer,163
Peje,2015-2016,Para-fillor,5-6,Mashkull,553
Peje,2015-2016,Para-fillor,5-6,Femer,512
Podujeve,2015-2016,Para-fillor,5-6,Mashkull,631
Podujeve,2015-2016,Para-fillor,5-6,Femer,564
Prishtine,2015-2016,Para-fillor,5-6,Mashkull,1202
Prishtine,2015-2016,Para-fillor,5-6,Femer,1223
Prizren,2015-2016,Para-fillor,5-6,Mashkull,875
Prizren,2015-2016,Para-fillor,5-6,Femer,864
Rahovec,2015-2016,Para-fillor,5-6,Mashkull,400
Rahovec,2015-2016,Para-fillor,5-6,Femer,393
Shterpce,2015-2016,Para-fillor,5-6,Mashkull,18
Shterpce,2015-2016,Para-fillor,5-6,Femer,17
Shtime,2015-2016,Para-fillor,5-6,Mashkull,206
Shtime,2015-2016,Para-fillor,5-6,Femer,185
Skenderaj,2015-2016,Para-fillor,5-6,Mashkull,395
Skenderaj,2015-2016,Para-fillor,5-6,Femer,335
Suhareke,2015-2016,Para-fillor,5-6,Mashkull,409
Suhareke,2015-2016,Para-fillor,5-6,Femer,365
Viti,2015-2016,Para-fillor,5-6,Mashkull,292
Viti,2015-2016,Para-fillor,5-6,Femer,268
Vushtrri,2015-2016,Para-fillor,5-6,Mashkull,398
Vushtrri,2015-2016,Para-fillor,5-6,Femer,387
Zubin Potok,2015-2016,Para-fillor,5-6,Mashkull,4
Zubin Potok,2015-2016,Para-fillor,5-6,Femer,3
Zveqan,2015-2016,Para-fillor,5-6,Mashkull,:
Zveqan,2015-2016,Para-fillor,5-6,Femer,:
Kllokot,2015-2016,Para-fillor,5-6,Mashkull,5
Kllokot,2015-2016,Para-fillor,5-6,Femer,12
Deqan,2016-2017,Para-fillor,5-6,Mashkull,255
Deqan,2016-2017,Para-fillor,5-6,Femer,228
Dargash,2016-2017,Para-fillor,5-6,Mashkull,148
Dargash,2016-2017,Para-fillor,5-6,Femer,156
Ferizaj,2016-2017,Para-fillor,5-6,Mashkull,827
Ferizaj,2016-2017,Para-fillor,5-6,Femer,792
Fushe Kosove,2016-2017,Para-fillor,5-6,Mashkull,85
Fushe Kosove,2016-2017,Para-fillor,5-6,Femer,79
Gjakove,2016-2017,Para-fillor,5-6,Mashkull,574
Gjakove,2016-2017,Para-fillor,5-6,Femer,546
Gjilan,2016-2017,Para-fillor,5-6,Mashkull,584
Gjilan,2016-2017,Para-fillor,5-6,Femer,541
Gllogovc,2016-2017,Para-fillor,5-6,Mashkull,499
Gllogovc,2016-2017,Para-fillor,5-6,Femer,485
Hani i Elezit,2016-2017,Para-fillor,5-6,Mashkull,:
Hani i Elezit,2016-2017,Para-fillor,5-6,Femer,:
Istog,2016-2017,Para-fillor,5-6,Mashkull,280
Istog,2016-2017,Para-fillor,5-6,Femer,264
Junik,2016-2017,Para-fillor,5-6,Mashkull,24
Junik,2016-2017,Para-fillor,5-6,Femer,31
Kaqanik,2016-2017,Para-fillor,5-6,Mashkull,224
Kaqanik,2016-2017,Para-fillor,5-6,Femer,228
Kamenice,2016-2017,Para-fillor,5-6,Mashkull,140
Kamenice,2016-2017,Para-fillor,5-6,Femer,137
Kline,2016-2017,Para-fillor,5-6,Mashkull,293
Kline,2016-2017,Para-fillor,5-6,Femer,281
Leposaviq,2016-2017,Para-fillor,5-6,Mashkull,-
Leposaviq,2016-2017,Para-fillor,5-6,Femer,-
Lipjan,2016-2017,Para-fillor,5-6,Mashkull,476
Lipjan,2016-2017,Para-fillor,5-6,Femer,433
Malisheve,2016-2017,Para-fillor,5-6,Mashkull,594
Malisheve,2016-2017,Para-fillor,5-6,Femer,542
Mamushe,2016-2017,Para-fillor,5-6,Mashkull,33
Mamushe,2016-2017,Para-fillor,5-6,Femer,23
Mitrovice,2016-2017,Para-fillor,5-6,Mashkull,547
Mitrovice,2016-2017,Para-fillor,5-6,Femer,520
Novoberde,2016-2017,Para-fillor,5-6,Mashkull,23
Novoberde,2016-2017,Para-fillor,5-6,Femer,23
Obiliq,2016-2017,Para-fillor,5-6,Mashkull,168
Obiliq,2016-2017,Para-fillor,5-6,Femer,154
Peje,2016-2017,Para-fillor,5-6,Mashkull,612
Peje,2016-2017,Para-fillor,5-6,Femer,575
Podujeve,2016-2017,Para-fillor,5-6,Mashkull,595
Podujeve,2016-2017,Para-fillor,5-6,Femer,578
Prishtine,2016-2017,Para-fillor,5-6,Mashkull,1322
Prishtine,2016-2017,Para-fillor,5-6,Femer,1208
Prizren,2016-2017,Para-fillor,5-6,Mashkull,932
Prizren,2016-2017,Para-fillor,5-6,Femer,882
Rahovec,2016-2017,Para-fillor,5-6,Mashkull,464
Rahovec,2016-2017,Para-fillor,5-6,Femer,418
Shterpce,2016-2017,Para-fillor,5-6,Mashkull,27
Shterpce,2016-2017,Para-fillor,5-6,Femer,15
Shtime,2016-2017,Para-fillor,5-6,Mashkull,210
Shtime,2016-2017,Para-fillor,5-6,Femer,186
Skenderaj,2016-2017,Para-fillor,5-6,Mashkull,360
Skenderaj,2016-2017,Para-fillor,5-6,Femer,358
Suhareke,2016-2017,Para-fillor,5-6,Mashkull,402
Suhareke,2016-2017,Para-fillor,5-6,Femer,405
Viti,2016-2017,Para-fillor,5-6,Mashkull,246
Viti,2016-2017,Para-fillor,5-6,Femer,242
Vushtrri,2016-2017,Para-fillor,5-6,Mashkull,376
Vushtrri,2016-2017,Para-fillor,5-6,Femer,345
Zubin Potok,2016-2017,Para-fillor,5-6,Mashkull,6
Zubin Potok,2016-2017,Para-fillor,5-6,Femer,5
Zveqan,2016-2017,Para-fillor,5-6,Mashkull,-
Zveqan,2016-2017,Para-fillor,5-6,Femer,-
Kllokot,2016-2017,Para-fillor,5-6,Mashkull,5
Kllokot,2016-2017,Para-fillor,5-6,Femer,4
Deqan,2017-2018,Para-fillor,5-6,Mashkull,263
Deqan,2017-2018,Para-fillor,5-6,Femer,242
Dargash,2017-2018,Para-fillor,5-6,Mashkull,218
Dargash,2017-2018,Para-fillor,5-6,Femer,160
Ferizaj,2017-2018,Para-fillor,5-6,Mashkull,860
Ferizaj,2017-2018,Para-fillor,5-6,Femer,825
Fushe Kosove,2017-2018,Para-fillor,5-6,Mashkull,82
Fushe Kosove,2017-2018,Para-fillor,5-6,Femer,78
Gjakove,2017-2018,Para-fillor,5-6,Mashkull,635
Gjakove,2017-2018,Para-fillor,5-6,Femer,510
Gjilan,2017-2018,Para-fillor,5-6,Mashkull,689
Gjilan,2017-2018,Para-fillor,5-6,Femer,599
Gllogovc,2017-2018,Para-fillor,5-6,Mashkull,527
Gllogovc,2017-2018,Para-fillor,5-6,Femer,492
Hani i Elezit,2017-2018,Para-fillor,5-6,Mashkull,:
Hani i Elezit,2017-2018,Para-fillor,5-6,Femer,:
Istog,2017-2018,Para-fillor,5-6,Mashkull,270
Istog,2017-2018,Para-fillor,5-6,Femer,266
Junik,2017-2018,Para-fillor,5-6,Mashkull,64
Junik,2017-2018,Para-fillor,5-6,Femer,55
Kaqanik,2017-2018,Para-fillor,5-6,Mashkull,258
Kaqanik,2017-2018,Para-fillor,5-6,Femer,228
Kamenice,2017-2018,Para-fillor,5-6,Mashkull,164
Kamenice,2017-2018,Para-fillor,5-6,Femer,167
Kline,2017-2018,Para-fillor,5-6,Mashkull,231
Kline,2017-2018,Para-fillor,5-6,Femer,259
Leposaviq,2017-2018,Para-fillor,5-6,Mashkull,-
Leposaviq,2017-2018,Para-fillor,5-6,Femer,-
Lipjan,2017-2018,Para-fillor,5-6,Mashkull,508
Lipjan,2017-2018,Para-fillor,5-6,Femer,409
Malisheve,2017-2018,Para-fillor,5-6,Mashkull,582
Malisheve,2017-2018,Para-fillor,5-6,Femer,505
Mamushe,2017-2018,Para-fillor,5-6,Mashkull,39
Mamushe,2017-2018,Para-fillor,5-6,Femer,21
Mitrovice,2017-2018,Para-fillor,5-6,Mashkull,508
Mitrovice,2017-2018,Para-fillor,5-6,Femer,551
Novoberde,2017-2018,Para-fillor,5-6,Mashkull,12
Novoberde,2017-2018,Para-fillor,5-6,Femer,30
Obiliq,2017-2018,Para-fillor,5-6,Mashkull,188
Obiliq,2017-2018,Para-fillor,5-6,Femer,158
Peje,2017-2018,Para-fillor,5-6,Mashkull,642
Peje,2017-2018,Para-fillor,5-6,Femer,593
Podujeve,2017-2018,Para-fillor,5-6,Mashkull,653
Podujeve,2017-2018,Para-fillor,5-6,Femer,613
Prishtine,2017-2018,Para-fillor,5-6,Mashkull,1133
Prishtine,2017-2018,Para-fillor,5-6,Femer,1097
Prizren,2017-2018,Para-fillor,5-6,Mashkull,897
Prizren,2017-2018,Para-fillor,5-6,Femer,911
Rahovec,2017-2018,Para-fillor,5-6,Mashkull,426
Rahovec,2017-2018,Para-fillor,5-6,Femer,428
Shterpce,2017-2018,Para-fillor,5-6,Mashkull,26
Shterpce,2017-2018,Para-fillor,5-6,Femer,20
Shtime,2017-2018,Para-fillor,5-6,Mashkull,201
Shtime,2017-2018,Para-fillor,5-6,Femer,213
Skenderaj,2017-2018,Para-fillor,5-6,Mashkull,370
Skenderaj,2017-2018,Para-fillor,5-6,Femer,317
Suhareke,2017-2018,Para-fillor,5-6,Mashkull,413
Suhareke,2017-2018,Para-fillor,5-6,Femer,374
Viti,2017-2018,Para-fillor,5-6,Mashkull,370
Viti,2017-2018,Para-fillor,5-6,Femer,336
Vushtrri,2017-2018,Para-fillor,5-6,Mashkull,466
Vushtrri,2017-2018,Para-fillor,5-6,Femer,416
Zubin Potok,2017-2018,Para-fillor,5-6,Mashkull,5
Zubin Potok,2017-2018,Para-fillor,5-6,Femer,3
Zveqan,2017-2018,Para-fillor,5-6,Mashkull,-
Zveqan,2017-2018,Para-fillor,5-6,Femer,-
Kllokot,2017-2018,Para-fillor,5-6,Mashkull,7
Kllokot,2017-2018,Para-fillor,5-6,Femer,3
Deqan,2018-2019,Para-fillor,5-6,Mashkull,240
Deqan,2018-2019,Para-fillor,5-6,Femer,234
Dargash,2018-2019,Para-fillor,5-6,Mashkull,166
Dargash,2018-2019,Para-fillor,5-6,Femer,139
Ferizaj,2018-2019,Para-fillor,5-6,Mashkull,842
Ferizaj,2018-2019,Para-fillor,5-6,Femer,818
Fushe Kosove,2018-2019,Para-fillor,5-6,Mashkull,73
Fushe Kosove,2018-2019,Para-fillor,5-6,Femer,73
Gjakove,2018-2019,Para-fillor,5-6,Mashkull,611
Gjakove,2018-2019,Para-fillor,5-6,Femer,514
Gjilan,2018-2019,Para-fillor,5-6,Mashkull,597
Gjilan,2018-2019,Para-fillor,5-6,Femer,544
