Viti,Variabla,Konsumi i përgjithshëm në Kosovë
2022,Gjithsej në Milion,2527
2022,Konsumi për ekonomi familjare,8106
2022,Konsumi për banor,1903
2021,Gjithsej në Milion,:
2021,Konsumi për ekonomi familjare,:
2021,Konsumi për banor,:
2020,Gjithsej në Milion,:
2020,Konsumi për ekonomi familjare,:
2020,Konsumi për banor,:
2019,Gjithsej në Milion,:
2019,Konsumi për ekonomi familjare,:
2019,Konsumi për banor,:
2018,Gjithsej në Milion,:
2018,Konsumi për ekonomi familjare,:
2018,Konsumi për banor,:
2017,Gjithsej në Milion,2340
2017,Konsumi për ekonomi familjare,7803
2017,Konsumi për banor,1511
2016,Gjithsej në Milion,2321
2016,Konsumi për ekonomi familjare,7539
2016,Konsumi për banor,1460
2015,Gjithsej në Milion,2461
2015,Konsumi për ekonomi familjare,7503
2015,Konsumi për banor,1432
2014,Gjithsej në Milion,2471
2014,Konsumi për ekonomi familjare,7611
2014,Konsumi për banor,1386
2013,Gjithsej në Milion,2382
2013,Konsumi për ekonomi familjare,7625
2013,Konsumi për banor,1402
2012,Gjithsej në Milion,2292
2012,Konsumi për ekonomi familjare,7657
2012,Konsumi për banor,1380
2011,Gjithsej në Milion,1928
2011,Konsumi për ekonomi familjare,7010
2011,Konsumi për banor,1210
