Viti,Qasja në internet nga shtëpia,Ekonomit Familjare në Kosovë që kanë pasur qasje në internet nga shtëpia
2023,Nuk e din,0.6
2023,Jo,0.8
2023,Po,98.6
2023,Gjithsej,100.0
2022,Nuk e din,0.3
2022,Jo,1.8
2022,Po,97.9
2022,Gjithsej,100.0
2021,Nuk e din,1.9
2021,Jo,2.1
2021,Po,96.1
2021,Gjithsej,100.0
2020,Nuk e din,0.2
2020,Jo,3.4
2020,Po,96.4
2020,Gjithsej,100.0
2019,Nuk e din,0.8
2019,Jo,6.1
2019,Po,93.2
2019,Gjithsej,100.0
2018,Nuk e din,0.2
2018,Jo,6.6
2018,Po,93.2
2018,Gjithsej,100.0
2017,Nuk e din,0.4
2017,Jo,10.8
2017,Po,88.8
2017,Gjithsej,100.0
