viti,komuna,personeli administrativ,gjinia,Personeli administrativ sipas niveleve
2015/2016,Deçan,Parashkollor,Meshkuj,-
2015/2016,Deçan,Parashkollor,Femra,-
2015/2016,Deçan,Parashkollor,Gjithsej,-
2015/2016,Deçan,Fillor dhe i mesëm i ulët,Meshkuj,22
2015/2016,Deçan,Fillor dhe i mesëm i ulët,Femra,3
2015/2016,Deçan,Fillor dhe i mesëm i ulët,Gjithsej,25
2015/2016,Deçan,I mesëm i lartë,Meshkuj,10
2015/2016,Deçan,I mesëm i lartë,Femra,1
2015/2016,Deçan,I mesëm i lartë,Gjithsej,11
2015/2016,Dragash,Parashkollor,Meshkuj,-
2015/2016,Dragash,Parashkollor,Femra,-
2015/2016,Dragash,Parashkollor,Gjithsej,-
2015/2016,Dragash,Fillor dhe i mesëm i ulët,Meshkuj,16
2015/2016,Dragash,Fillor dhe i mesëm i ulët,Femra,-
2015/2016,Dragash,Fillor dhe i mesëm i ulët,Gjithsej,16
2015/2016,Dragash,I mesëm i lartë,Meshkuj,1
2015/2016,Dragash,I mesëm i lartë,Femra,-
2015/2016,Dragash,I mesëm i lartë,Gjithsej,1
2015/2016,Ferizaj,Parashkollor,Meshkuj,-
2015/2016,Ferizaj,Parashkollor,Femra,-
2015/2016,Ferizaj,Parashkollor,Gjithsej,-
2015/2016,Ferizaj,Fillor dhe i mesëm i ulët,Meshkuj,85
2015/2016,Ferizaj,Fillor dhe i mesëm i ulët,Femra,25
2015/2016,Ferizaj,Fillor dhe i mesëm i ulët,Gjithsej,110
2015/2016,Ferizaj,I mesëm i lartë,Meshkuj,30
2015/2016,Ferizaj,I mesëm i lartë,Femra,6
2015/2016,Ferizaj,I mesëm i lartë,Gjithsej,36
2015/2016,Fushë Kosovë,Parashkollor,Meshkuj,-
2015/2016,Fushë Kosovë,Parashkollor,Femra,4
2015/2016,Fushë Kosovë,Parashkollor,Gjithsej,4
2015/2016,Fushë Kosovë,Fillor dhe i mesëm i ulët,Meshkuj,15
2015/2016,Fushë Kosovë,Fillor dhe i mesëm i ulët,Femra,6
2015/2016,Fushë Kosovë,Fillor dhe i mesëm i ulët,Gjithsej,21
2015/2016,Fushë Kosovë,I mesëm i lartë,Meshkuj,3
2015/2016,Fushë Kosovë,I mesëm i lartë,Femra,-
2015/2016,Fushë Kosovë,I mesëm i lartë,Gjithsej,3
2015/2016,Gjakovë,Parashkollor,Meshkuj,1
2015/2016,Gjakovë,Parashkollor,Femra,4
2015/2016,Gjakovë,Parashkollor,Gjithsej,5
2015/2016,Gjakovë,Fillor dhe i mesëm i ulët,Meshkuj,56
2015/2016,Gjakovë,Fillor dhe i mesëm i ulët,Femra,17
2015/2016,Gjakovë,Fillor dhe i mesëm i ulët,Gjithsej,73
2015/2016,Gjakovë,I mesëm i lartë,Meshkuj,9
2015/2016,Gjakovë,I mesëm i lartë,Femra,3
2015/2016,Gjakovë,I mesëm i lartë,Gjithsej,12
2015/2016,Gjilan,Parashkollor,Meshkuj,1
2015/2016,Gjilan,Parashkollor,Femra,4
2015/2016,Gjilan,Parashkollor,Gjithsej,5
2015/2016,Gjilan,Fillor dhe i mesëm i ulët,Meshkuj,41
2015/2016,Gjilan,Fillor dhe i mesëm i ulët,Femra,13
2015/2016,Gjilan,Fillor dhe i mesëm i ulët,Gjithsej,54
2015/2016,Gjilan,I mesëm i lartë,Meshkuj,21
2015/2016,Gjilan,I mesëm i lartë,Femra,1
2015/2016,Gjilan,I mesëm i lartë,Gjithsej,22
2015/2016,Gllogovc,Parashkollor,Meshkuj,-
2015/2016,Gllogovc,Parashkollor,Femra,2
2015/2016,Gllogovc,Parashkollor,Gjithsej,2
2015/2016,Gllogovc,Fillor dhe i mesëm i ulët,Meshkuj,42
2015/2016,Gllogovc,Fillor dhe i mesëm i ulët,Femra,7
2015/2016,Gllogovc,Fillor dhe i mesëm i ulët,Gjithsej,49
2015/2016,Gllogovc,I mesëm i lartë,Meshkuj,6
2015/2016,Gllogovc,I mesëm i lartë,Femra,2
2015/2016,Gllogovc,I mesëm i lartë,Gjithsej,8
2015/2016,Hani i Elezit,Parashkollor,Meshkuj,-
2015/2016,Hani i Elezit,Parashkollor,Femra,-
2015/2016,Hani i Elezit,Parashkollor,Gjithsej,-
2015/2016,Hani i Elezit,Fillor dhe i mesëm i ulët,Meshkuj,4
2015/2016,Hani i Elezit,Fillor dhe i mesëm i ulët,Femra,-
2015/2016,Hani i Elezit,Fillor dhe i mesëm i ulët,Gjithsej,4
2015/2016,Hani i Elezit,I mesëm i lartë,Meshkuj,1
2015/2016,Hani i Elezit,I mesëm i lartë,Femra,-
2015/2016,Hani i Elezit,I mesëm i lartë,Gjithsej,1
2015/2016,Istog,Parashkollor,Meshkuj,-
2015/2016,Istog,Parashkollor,Femra,3
2015/2016,Istog,Parashkollor,Gjithsej,3
2015/2016,Istog,Fillor dhe i mesëm i ulët,Meshkuj,19
2015/2016,Istog,Fillor dhe i mesëm i ulët,Femra,6
2015/2016,Istog,Fillor dhe i mesëm i ulët,Gjithsej,25
2015/2016,Istog,I mesëm i lartë,Meshkuj,1
2015/2016,Istog,I mesëm i lartë,Femra,1
2015/2016,Istog,I mesëm i lartë,Gjithsej,2
2015/2016,Junik,Parashkollor,Meshkuj,-
2015/2016,Junik,Parashkollor,Femra,-
2015/2016,Junik,Parashkollor,Gjithsej,-
2015/2016,Junik,Fillor dhe i mesëm i ulët,Meshkuj,2
2015/2016,Junik,Fillor dhe i mesëm i ulët,Femra,-
2015/2016,Junik,Fillor dhe i mesëm i ulët,Gjithsej,2
2015/2016,Junik,I mesëm i lartë,Meshkuj,1
2015/2016,Junik,I mesëm i lartë,Femra,-
2015/2016,Junik,I mesëm i lartë,Gjithsej,1
2015/2016,Kaçanik,Parashkollor,Meshkuj,-
2015/2016,Kaçanik,Parashkollor,Femra,2
2015/2016,Kaçanik,Parashkollor,Gjithsej,2
2015/2016,Kaçanik,Fillor dhe i mesëm i ulët,Meshkuj,21
2015/2016,Kaçanik,Fillor dhe i mesëm i ulët,Femra,3
2015/2016,Kaçanik,Fillor dhe i mesëm i ulët,Gjithsej,24
2015/2016,Kaçanik,I mesëm i lartë,Meshkuj,7
2015/2016,Kaçanik,I mesëm i lartë,Femra,-
2015/2016,Kaçanik,I mesëm i lartë,Gjithsej,7
2015/2016,Kamenicë,Parashkollor,Meshkuj,1
2015/2016,Kamenicë,Parashkollor,Femra,2
2015/2016,Kamenicë,Parashkollor,Gjithsej,3
2015/2016,Kamenicë,Fillor dhe i mesëm i ulët,Meshkuj,17
2015/2016,Kamenicë,Fillor dhe i mesëm i ulët,Femra,6
2015/2016,Kamenicë,Fillor dhe i mesëm i ulët,Gjithsej,23
2015/2016,Kamenicë,I mesëm i lartë,Meshkuj,5
2015/2016,Kamenicë,I mesëm i lartë,Femra,1
2015/2016,Kamenicë,I mesëm i lartë,Gjithsej,6
2015/2016,Klinë,Parashkollor,Meshkuj,-
2015/2016,Klinë,Parashkollor,Femra,1
2015/2016,Klinë,Parashkollor,Gjithsej,1
2015/2016,Klinë,Fillor dhe i mesëm i ulët,Meshkuj,22
2015/2016,Klinë,Fillor dhe i mesëm i ulët,Femra,4
2015/2016,Klinë,Fillor dhe i mesëm i ulët,Gjithsej,26
2015/2016,Klinë,I mesëm i lartë,Meshkuj,2
2015/2016,Klinë,I mesëm i lartë,Femra,1
2015/2016,Klinë,I mesëm i lartë,Gjithsej,3
2015/2016,Leposaviq,Parashkollor,Meshkuj,-
2015/2016,Leposaviq,Parashkollor,Femra,-
2015/2016,Leposaviq,Parashkollor,Gjithsej,-
2015/2016,Leposaviq,Fillor dhe i mesëm i ulët,Meshkuj,-
2015/2016,Leposaviq,Fillor dhe i mesëm i ulët,Femra,1
2015/2016,Leposaviq,Fillor dhe i mesëm i ulët,Gjithsej,1
2015/2016,Leposaviq,I mesëm i lartë,Meshkuj,-
2015/2016,Leposaviq,I mesëm i lartë,Femra,-
2015/2016,Leposaviq,I mesëm i lartë,Gjithsej,-
2015/2016,Lipjan,Parashkollor,Meshkuj,2
2015/2016,Lipjan,Parashkollor,Femra,-
2015/2016,Lipjan,Parashkollor,Gjithsej,2
2015/2016,Lipjan,Fillor dhe i mesëm i ulët,Meshkuj,39
2015/2016,Lipjan,Fillor dhe i mesëm i ulët,Femra,5
2015/2016,Lipjan,Fillor dhe i mesëm i ulët,Gjithsej,44
2015/2016,Lipjan,I mesëm i lartë,Meshkuj,5
2015/2016,Lipjan,I mesëm i lartë,Femra,2
2015/2016,Lipjan,I mesëm i lartë,Gjithsej,7
2015/2016,Malishevë,Parashkollor,Meshkuj,-
2015/2016,Malishevë,Parashkollor,Femra,-
2015/2016,Malishevë,Parashkollor,Gjithsej,-
2015/2016,Malishevë,Fillor dhe i mesëm i ulët,Meshkuj,46
2015/2016,Malishevë,Fillor dhe i mesëm i ulët,Femra,6
2015/2016,Malishevë,Fillor dhe i mesëm i ulët,Gjithsej,52
2015/2016,Malishevë,I mesëm i lartë,Meshkuj,13
2015/2016,Malishevë,I mesëm i lartë,Femra,3
2015/2016,Malishevë,I mesëm i lartë,Gjithsej,16
2015/2016,Mamushë,Parashkollor,Meshkuj,-
2015/2016,Mamushë,Parashkollor,Femra,-
2015/2016,Mamushë,Parashkollor,Gjithsej,-
2015/2016,Mamushë,Fillor dhe i mesëm i ulët,Meshkuj,3
2015/2016,Mamushë,Fillor dhe i mesëm i ulët,Femra,-
2015/2016,Mamushë,Fillor dhe i mesëm i ulët,Gjithsej,3
2015/2016,Mamushë,I mesëm i lartë,Meshkuj,-
2015/2016,Mamushë,I mesëm i lartë,Femra,-
2015/2016,Mamushë,I mesëm i lartë,Gjithsej,-
2015/2016,Mitrovicë,Parashkollor,Meshkuj,2
2015/2016,Mitrovicë,Parashkollor,Femra,8
2015/2016,Mitrovicë,Parashkollor,Gjithsej,10
2015/2016,Mitrovicë,Fillor dhe i mesëm i ulët,Meshkuj,53
2015/2016,Mitrovicë,Fillor dhe i mesëm i ulët,Femra,13
2015/2016,Mitrovicë,Fillor dhe i mesëm i ulët,Gjithsej,66
2015/2016,Mitrovicë,I mesëm i lartë,Meshkuj,21
2015/2016,Mitrovicë,I mesëm i lartë,Femra,6
2015/2016,Mitrovicë,I mesëm i lartë,Gjithsej,27
2015/2016,Novobërdë,Parashkollor,Meshkuj,-
2015/2016,Novobërdë,Parashkollor,Femra,-
2015/2016,Novobërdë,Parashkollor,Gjithsej,-
2015/2016,Novobërdë,Fillor dhe i mesëm i ulët,Meshkuj,4
2015/2016,Novobërdë,Fillor dhe i mesëm i ulët,Femra,-
2015/2016,Novobërdë,Fillor dhe i mesëm i ulët,Gjithsej,4
2015/2016,Novobërdë,I mesëm i lartë,Meshkuj,1
2015/2016,Novobërdë,I mesëm i lartë,Femra,-
2015/2016,Novobërdë,I mesëm i lartë,Gjithsej,1
2015/2016,Obiliq,Parashkollor,Meshkuj,-
2015/2016,Obiliq,Parashkollor,Femra,2
2015/2016,Obiliq,Parashkollor,Gjithsej,2
2015/2016,Obiliq,Fillor dhe i mesëm i ulët,Meshkuj,16
2015/2016,Obiliq,Fillor dhe i mesëm i ulët,Femra,8
2015/2016,Obiliq,Fillor dhe i mesëm i ulët,Gjithsej,24
2015/2016,Obiliq,I mesëm i lartë,Meshkuj,3
2015/2016,Obiliq,I mesëm i lartë,Femra,-
2015/2016,Obiliq,I mesëm i lartë,Gjithsej,3
2015/2016,Pejë,Parashkollor,Meshkuj,-
2015/2016,Pejë,Parashkollor,Femra,8
2015/2016,Pejë,Parashkollor,Gjithsej,8
2015/2016,Pejë,Fillor dhe i mesëm i ulët,Meshkuj,36
2015/2016,Pejë,Fillor dhe i mesëm i ulët,Femra,24
2015/2016,Pejë,Fillor dhe i mesëm i ulët,Gjithsej,60
2015/2016,Pejë,I mesëm i lartë,Meshkuj,9
2015/2016,Pejë,I mesëm i lartë,Femra,4
2015/2016,Pejë,I mesëm i lartë,Gjithsej,13
2015/2016,Podujevë,Parashkollor,Meshkuj,-
2015/2016,Podujevë,Parashkollor,Femra,4
2015/2016,Podujevë,Parashkollor,Gjithsej,4
2015/2016,Podujevë,Fillor dhe i mesëm i ulët,Meshkuj,58
2015/2016,Podujevë,Fillor dhe i mesëm i ulët,Femra,14
2015/2016,Podujevë,Fillor dhe i mesëm i ulët,Gjithsej,72
2015/2016,Podujevë,I mesëm i lartë,Meshkuj,4
2015/2016,Podujevë,I mesëm i lartë,Femra,5
2015/2016,Podujevë,I mesëm i lartë,Gjithsej,9
2015/2016,Prishtinë,Parashkollor,Meshkuj,4
2015/2016,Prishtinë,Parashkollor,Femra,25
2015/2016,Prishtinë,Parashkollor,Gjithsej,29
2015/2016,Prishtinë,Fillor dhe i mesëm i ulët,Meshkuj,53
2015/2016,Prishtinë,Fillor dhe i mesëm i ulët,Femra,67
