viti,komuna,variabla,gjinia,Mësimdhënësit sipas niveleve
2015/2016,Deçan,Parashkollor,Meshkuj,-
2015/2016,Deçan,Parashkollor,Femra,-
2015/2016,Deçan,Parashkollor,Gjithsej,-
2015/2016,Deçan,Paraf.fillor dhe i mesëm i ulët,Meshkuj,182
2015/2016,Deçan,Paraf.fillor dhe i mesëm i ulët,Femra,197
2015/2016,Deçan,Paraf.fillor dhe i mesëm i ulët,Gjithsej,379
2015/2016,Deçan,I Mesëm i lartë,Meshkuj,61
2015/2016,Deçan,I Mesëm i lartë,Femra,27
2015/2016,Deçan,I Mesëm i lartë,Gjithsej,88
2015/2016,Dragash,Parashkollor,Meshkuj,-
2015/2016,Dragash,Parashkollor,Femra,-
2015/2016,Dragash,Parashkollor,Gjithsej,-
2015/2016,Dragash,Paraf.fillor dhe i mesëm i ulët,Meshkuj,278
2015/2016,Dragash,Paraf.fillor dhe i mesëm i ulët,Femra,42
2015/2016,Dragash,Paraf.fillor dhe i mesëm i ulët,Gjithsej,320
2015/2016,Dragash,I Mesëm i lartë,Meshkuj,50
2015/2016,Dragash,I Mesëm i lartë,Femra,6
2015/2016,Dragash,I Mesëm i lartë,Gjithsej,56
2015/2016,Ferizaj,Parashkollor,Meshkuj,-
2015/2016,Ferizaj,Parashkollor,Femra,25
2015/2016,Ferizaj,Parashkollor,Gjithsej,25
2015/2016,Ferizaj,Paraf.fillor dhe i mesëm i ulët,Meshkuj,453
2015/2016,Ferizaj,Paraf.fillor dhe i mesëm i ulët,Femra,700
2015/2016,Ferizaj,Paraf.fillor dhe i mesëm i ulët,Gjithsej,1153
2015/2016,Ferizaj,I Mesëm i lartë,Meshkuj,234
2015/2016,Ferizaj,I Mesëm i lartë,Femra,192
2015/2016,Ferizaj,I Mesëm i lartë,Gjithsej,426
2015/2016,Fushë Kosovë,Parashkollor,Meshkuj,-
2015/2016,Fushë Kosovë,Parashkollor,Femra,19
2015/2016,Fushë Kosovë,Parashkollor,Gjithsej,19
2015/2016,Fushë Kosovë,Paraf.fillor dhe i mesëm i ulët,Meshkuj,97
2015/2016,Fushë Kosovë,Paraf.fillor dhe i mesëm i ulët,Femra,202
2015/2016,Fushë Kosovë,Paraf.fillor dhe i mesëm i ulët,Gjithsej,299
2015/2016,Fushë Kosovë,I Mesëm i lartë,Meshkuj,30
2015/2016,Fushë Kosovë,I Mesëm i lartë,Femra,34
2015/2016,Fushë Kosovë,I Mesëm i lartë,Gjithsej,64
2015/2016,Gjakovë,Parashkollor,Meshkuj,-
2015/2016,Gjakovë,Parashkollor,Femra,52
2015/2016,Gjakovë,Parashkollor,Gjithsej,52
2015/2016,Gjakovë,Paraf.fillor dhe i mesëm i ulët,Meshkuj,375
2015/2016,Gjakovë,Paraf.fillor dhe i mesëm i ulët,Femra,608
2015/2016,Gjakovë,Paraf.fillor dhe i mesëm i ulët,Gjithsej,983
2015/2016,Gjakovë,I Mesëm i lartë,Meshkuj,127
2015/2016,Gjakovë,I Mesëm i lartë,Femra,161
2015/2016,Gjakovë,I Mesëm i lartë,Gjithsej,288
2015/2016,Gjilan,Parashkollor,Meshkuj,-
2015/2016,Gjilan,Parashkollor,Femra,35
2015/2016,Gjilan,Parashkollor,Gjithsej,35
2015/2016,Gjilan,Paraf.fillor dhe i mesëm i ulët,Meshkuj,408
2015/2016,Gjilan,Paraf.fillor dhe i mesëm i ulët,Femra,579
2015/2016,Gjilan,Paraf.fillor dhe i mesëm i ulët,Gjithsej,987
2015/2016,Gjilan,I Mesëm i lartë,Meshkuj,264
2015/2016,Gjilan,I Mesëm i lartë,Femra,146
2015/2016,Gjilan,I Mesëm i lartë,Gjithsej,410
2015/2016,Gllogovc,Parashkollor,Meshkuj,-
2015/2016,Gllogovc,Parashkollor,Femra,15
2015/2016,Gllogovc,Parashkollor,Gjithsej,15
2015/2016,Gllogovc,Paraf.fillor dhe i mesëm i ulët,Meshkuj,357
2015/2016,Gllogovc,Paraf.fillor dhe i mesëm i ulët,Femra,283
2015/2016,Gllogovc,Paraf.fillor dhe i mesëm i ulët,Gjithsej,640
2015/2016,Gllogovc,I Mesëm i lartë,Meshkuj,125
2015/2016,Gllogovc,I Mesëm i lartë,Femra,50
2015/2016,Gllogovc,I Mesëm i lartë,Gjithsej,175
2015/2016,Hani i Elezit,Parashkollor,Meshkuj,-
2015/2016,Hani i Elezit,Parashkollor,Femra,-
2015/2016,Hani i Elezit,Parashkollor,Gjithsej,-
2015/2016,Hani i Elezit,Paraf.fillor dhe i mesëm i ulët,Meshkuj,42
2015/2016,Hani i Elezit,Paraf.fillor dhe i mesëm i ulët,Femra,42
2015/2016,Hani i Elezit,Paraf.fillor dhe i mesëm i ulët,Gjithsej,84
2015/2016,Hani i Elezit,I Mesëm i lartë,Meshkuj,11
2015/2016,Hani i Elezit,I Mesëm i lartë,Femra,8
2015/2016,Hani i Elezit,I Mesëm i lartë,Gjithsej,19
2015/2016,Istog,Parashkollor,Meshkuj,-
2015/2016,Istog,Parashkollor,Femra,19
2015/2016,Istog,Parashkollor,Gjithsej,19
2015/2016,Istog,Paraf.fillor dhe i mesëm i ulët,Meshkuj,228
2015/2016,Istog,Paraf.fillor dhe i mesëm i ulët,Femra,170
2015/2016,Istog,Paraf.fillor dhe i mesëm i ulët,Gjithsej,398
2015/2016,Istog,I Mesëm i lartë,Meshkuj,77
2015/2016,Istog,I Mesëm i lartë,Femra,35
2015/2016,Istog,I Mesëm i lartë,Gjithsej,112
2015/2016,Junik,Parashkollor,Meshkuj,-
2015/2016,Junik,Parashkollor,Femra,-
2015/2016,Junik,Parashkollor,Gjithsej,-
2015/2016,Junik,Paraf.fillor dhe i mesëm i ulët,Meshkuj,19
2015/2016,Junik,Paraf.fillor dhe i mesëm i ulët,Femra,25
2015/2016,Junik,Paraf.fillor dhe i mesëm i ulët,Gjithsej,44
2015/2016,Junik,I Mesëm i lartë,Meshkuj,11
2015/2016,Junik,I Mesëm i lartë,Femra,5
2015/2016,Junik,I Mesëm i lartë,Gjithsej,16
2015/2016,Kaçanik,Parashkollor,Meshkuj,-
2015/2016,Kaçanik,Parashkollor,Femra,8
2015/2016,Kaçanik,Parashkollor,Gjithsej,8
2015/2016,Kaçanik,Paraf.fillor dhe i mesëm i ulët,Meshkuj,213
2015/2016,Kaçanik,Paraf.fillor dhe i mesëm i ulët,Femra,145
2015/2016,Kaçanik,Paraf.fillor dhe i mesëm i ulët,Gjithsej,358
2015/2016,Kaçanik,I Mesëm i lartë,Meshkuj,63
2015/2016,Kaçanik,I Mesëm i lartë,Femra,28
2015/2016,Kaçanik,I Mesëm i lartë,Gjithsej,91
2015/2016,Kamenicë,Parashkollor,Meshkuj,-
2015/2016,Kamenicë,Parashkollor,Femra,6
2015/2016,Kamenicë,Parashkollor,Gjithsej,6
2015/2016,Kamenicë,Paraf.fillor dhe i mesëm i ulët,Meshkuj,246
2015/2016,Kamenicë,Paraf.fillor dhe i mesëm i ulët,Femra,149
2015/2016,Kamenicë,Paraf.fillor dhe i mesëm i ulët,Gjithsej,395
2015/2016,Kamenicë,I Mesëm i lartë,Meshkuj,106
2015/2016,Kamenicë,I Mesëm i lartë,Femra,20
2015/2016,Kamenicë,I Mesëm i lartë,Gjithsej,126
2015/2016,Klinë,Parashkollor,Meshkuj,-
2015/2016,Klinë,Parashkollor,Femra,4
2015/2016,Klinë,Parashkollor,Gjithsej,4
2015/2016,Klinë,Paraf.fillor dhe i mesëm i ulët,Meshkuj,244
2015/2016,Klinë,Paraf.fillor dhe i mesëm i ulët,Femra,190
2015/2016,Klinë,Paraf.fillor dhe i mesëm i ulët,Gjithsej,434
2015/2016,Klinë,I Mesëm i lartë,Meshkuj,88
2015/2016,Klinë,I Mesëm i lartë,Femra,20
2015/2016,Klinë,I Mesëm i lartë,Gjithsej,108
2015/2016,Leposaviq,Parashkollor,Meshkuj,-
2015/2016,Leposaviq,Parashkollor,Femra,-
2015/2016,Leposaviq,Parashkollor,Gjithsej,-
2015/2016,Leposaviq,Paraf.fillor dhe i mesëm i ulët,Meshkuj,11
2015/2016,Leposaviq,Paraf.fillor dhe i mesëm i ulët,Femra,7
2015/2016,Leposaviq,Paraf.fillor dhe i mesëm i ulët,Gjithsej,18
2015/2016,Leposaviq,I Mesëm i lartë,Meshkuj,-
2015/2016,Leposaviq,I Mesëm i lartë,Femra,-
2015/2016,Leposaviq,I Mesëm i lartë,Gjithsej,-
2015/2016,Lipjan,Parashkollor,Meshkuj,-
2015/2016,Lipjan,Parashkollor,Femra,8
2015/2016,Lipjan,Parashkollor,Gjithsej,8
2015/2016,Lipjan,Paraf.fillor dhe i mesëm i ulët,Meshkuj,337
2015/2016,Lipjan,Paraf.fillor dhe i mesëm i ulët,Femra,331
2015/2016,Lipjan,Paraf.fillor dhe i mesëm i ulët,Gjithsej,668
2015/2016,Lipjan,I Mesëm i lartë,Meshkuj,56
2015/2016,Lipjan,I Mesëm i lartë,Femra,32
2015/2016,Lipjan,I Mesëm i lartë,Gjithsej,88
2015/2016,Malishevë,Parashkollor,Meshkuj,-
2015/2016,Malishevë,Parashkollor,Femra,-
2015/2016,Malishevë,Parashkollor,Gjithsej,-
2015/2016,Malishevë,Paraf.fillor dhe i mesëm i ulët,Meshkuj,607
2015/2016,Malishevë,Paraf.fillor dhe i mesëm i ulët,Femra,300
2015/2016,Malishevë,Paraf.fillor dhe i mesëm i ulët,Gjithsej,907
2015/2016,Malishevë,I Mesëm i lartë,Meshkuj,139
2015/2016,Malishevë,I Mesëm i lartë,Femra,44
2015/2016,Malishevë,I Mesëm i lartë,Gjithsej,183
2015/2016,Mamushë,Parashkollor,Meshkuj,1
2015/2016,Mamushë,Parashkollor,Femra,2
2015/2016,Mamushë,Parashkollor,Gjithsej,3
2015/2016,Mamushë,Paraf.fillor dhe i mesëm i ulët,Meshkuj,20
2015/2016,Mamushë,Paraf.fillor dhe i mesëm i ulët,Femra,26
2015/2016,Mamushë,Paraf.fillor dhe i mesëm i ulët,Gjithsej,46
2015/2016,Mamushë,I Mesëm i lartë,Meshkuj,3
2015/2016,Mamushë,I Mesëm i lartë,Femra,1
2015/2016,Mamushë,I Mesëm i lartë,Gjithsej,4
2015/2016,Mitrovicë,Parashkollor,Meshkuj,-
2015/2016,Mitrovicë,Parashkollor,Femra,31
2015/2016,Mitrovicë,Parashkollor,Gjithsej,31
2015/2016,Mitrovicë,Paraf.fillor dhe i mesëm i ulët,Meshkuj,255
2015/2016,Mitrovicë,Paraf.fillor dhe i mesëm i ulët,Femra,506
2015/2016,Mitrovicë,Paraf.fillor dhe i mesëm i ulët,Gjithsej,761
2015/2016,Mitrovicë,I Mesëm i lartë,Meshkuj,137
2015/2016,Mitrovicë,I Mesëm i lartë,Femra,145
2015/2016,Mitrovicë,I Mesëm i lartë,Gjithsej,282
2015/2016,Novobërdë,Parashkollor,Meshkuj,-
2015/2016,Novobërdë,Parashkollor,Femra,-
2015/2016,Novobërdë,Parashkollor,Gjithsej,-
2015/2016,Novobërdë,Paraf.fillor dhe i mesëm i ulët,Meshkuj,24
2015/2016,Novobërdë,Paraf.fillor dhe i mesëm i ulët,Femra,34
2015/2016,Novobërdë,Paraf.fillor dhe i mesëm i ulët,Gjithsej,58
2015/2016,Novobërdë,I Mesëm i lartë,Meshkuj,3
2015/2016,Novobërdë,I Mesëm i lartë,Femra,4
2015/2016,Novobërdë,I Mesëm i lartë,Gjithsej,7
2015/2016,Obiliq,Parashkollor,Meshkuj,-
2015/2016,Obiliq,Parashkollor,Femra,9
2015/2016,Obiliq,Parashkollor,Gjithsej,9
2015/2016,Obiliq,Paraf.fillor dhe i mesëm i ulët,Meshkuj,83
2015/2016,Obiliq,Paraf.fillor dhe i mesëm i ulët,Femra,159
2015/2016,Obiliq,Paraf.fillor dhe i mesëm i ulët,Gjithsej,242
2015/2016,Obiliq,I Mesëm i lartë,Meshkuj,34
2015/2016,Obiliq,I Mesëm i lartë,Femra,21
2015/2016,Obiliq,I Mesëm i lartë,Gjithsej,55
2015/2016,Pejë,Parashkollor,Meshkuj,-
2015/2016,Pejë,Parashkollor,Femra,43
2015/2016,Pejë,Parashkollor,Gjithsej,43
2015/2016,Pejë,Paraf.fillor dhe i mesëm i ulët,Meshkuj,306
2015/2016,Pejë,Paraf.fillor dhe i mesëm i ulët,Femra,565
2015/2016,Pejë,Paraf.fillor dhe i mesëm i ulët,Gjithsej,871
2015/2016,Pejë,I Mesëm i lartë,Meshkuj,229
2015/2016,Pejë,I Mesëm i lartë,Femra,169
2015/2016,Pejë,I Mesëm i lartë,Gjithsej,398
2015/2016,Podujevë,Parashkollor,Meshkuj,-
2015/2016,Podujevë,Parashkollor,Femra,8
2015/2016,Podujevë,Parashkollor,Gjithsej,8
2015/2016,Podujevë,Paraf.fillor dhe i mesëm i ulët,Meshkuj,493
